This is a log file of a temperture control run being done in Physics 350. It records the temperature, power, the control bandwidth, and settle bandwidth parameters versus time.

11/10/2014
12:58 PM

DDD

Temp	Power	Setpoint	C. band	S. Band	Settle time
49.953	0.508	50.000	4.000	1.000	30.000
49.933	0.512	50.000	4.000	1.000	30.000
49.914	0.516	50.000	4.000	1.000	30.000
49.896	0.521	50.000	4.000	1.000	30.000
49.882	0.524	50.000	4.000	1.000	30.000
49.870	0.526	50.000	4.000	1.000	30.000
49.860	0.528	50.000	4.000	1.000	30.000
49.853	0.530	50.000	4.000	1.000	30.000
49.847	0.533	50.000	4.000	1.000	30.000
49.842	0.535	50.000	4.000	1.000	30.000
49.835	0.538	50.000	4.000	1.000	30.000
49.830	0.538	50.000	4.000	1.000	30.000
49.825	0.540	50.000	4.000	1.000	30.000
49.821	0.542	50.000	4.000	1.000	30.000
49.817	0.545	50.000	4.000	1.000	30.000
49.816	0.545	50.000	4.000	1.000	30.000
49.818	0.545	50.000	4.000	1.000	30.000
49.825	0.544	50.000	4.000	1.000	30.000
49.832	0.541	50.000	4.000	1.000	30.000
49.841	0.539	50.000	4.000	1.000	30.000
49.849	0.538	50.000	4.000	1.000	30.000
49.854	0.539	50.000	4.000	1.000	30.000
49.858	0.538	50.000	4.000	1.000	30.000
49.862	0.537	50.000	4.000	1.000	30.000
49.868	0.536	50.000	4.000	1.000	30.000
49.874	0.535	50.000	4.000	1.000	30.000
49.880	0.534	50.000	4.000	1.000	30.000
49.886	0.534	50.000	4.000	1.000	30.000
49.888	0.534	50.000	4.000	1.000	30.000
49.889	0.533	50.000	4.000	1.000	30.000
49.892	0.534	50.000	4.000	1.000	30.000
49.898	0.532	50.000	4.000	1.000	30.000
49.905	0.531	50.000	4.000	1.000	30.000
49.914	0.529	50.000	4.000	1.000	30.000
49.927	0.525	50.000	4.000	1.000	30.000
49.938	0.523	50.000	4.000	1.000	30.000
49.944	0.522	50.000	4.000	1.000	30.000
49.947	0.522	50.000	4.000	1.000	30.000
49.951	0.522	50.000	4.000	1.000	30.000
49.957	0.521	50.000	4.000	1.000	30.000
49.962	0.520	50.000	4.000	1.000	30.000
49.971	0.517	50.000	4.000	1.000	30.000
49.980	0.514	50.000	4.000	1.000	30.000
49.991	0.511	50.000	4.000	1.000	30.000
50.006	0.508	50.000	4.000	1.000	30.000
50.013	0.507	50.000	4.000	1.000	30.000
50.014	0.508	50.000	4.000	1.000	30.000
50.017	0.507	50.000	4.000	1.000	30.000
50.017	0.506	50.000	4.000	1.000	30.000
50.019	0.506	50.000	4.000	1.000	30.000
50.005	0.510	50.000	4.000	1.000	30.000
49.991	0.515	50.000	4.000	1.000	30.000
49.986	0.515	50.000	4.000	1.000	30.000
49.987	0.514	50.000	4.000	1.000	30.000
49.990	0.513	50.000	4.000	1.000	30.000
49.995	0.511	50.000	4.000	1.000	30.000
49.998	0.511	50.000	4.000	1.000	30.000
49.999	0.511	50.000	4.000	1.000	30.000
50.000	0.801	60.000	4.000	1.000	30.000
50.002	0.963	60.000	4.000	1.000	30.000
50.019	0.960	60.000	4.000	1.000	30.000
50.059	0.955	60.000	4.000	1.000	30.000
50.117	0.951	60.000	4.000	1.000	30.000
50.186	0.948	60.000	4.000	1.000	30.000
50.270	0.944	60.000	4.000	1.000	30.000
50.364	0.942	60.000	4.000	1.000	30.000
50.467	0.940	60.000	4.000	1.000	30.000
50.575	0.939	60.000	4.000	1.000	30.000
50.690	0.937	60.000	4.000	1.000	30.000
50.809	0.935	60.000	4.000	1.000	30.000
50.931	0.934	60.000	4.000	1.000	30.000
51.061	0.932	60.000	4.000	1.000	30.000
51.199	0.931	60.000	4.000	1.000	30.000
51.334	0.932	60.000	4.000	1.000	30.000
51.469	0.931	60.000	4.000	1.000	30.000
51.606	0.931	60.000	4.000	1.000	30.000
51.743	0.932	60.000	4.000	1.000	30.000
51.884	0.931	60.000	4.000	1.000	30.000
52.027	0.929	60.000	4.000	1.000	30.000
52.171	0.928	60.000	4.000	1.000	30.000
52.316	0.928	60.000	4.000	1.000	30.000
52.462	0.928	60.000	4.000	1.000	30.000
52.610	0.928	60.000	4.000	1.000	30.000
52.758	0.929	60.000	4.000	1.000	30.000
52.908	0.928	60.000	4.000	1.000	30.000
53.057	0.928	60.000	4.000	1.000	30.000
53.207	0.928	60.000	4.000	1.000	30.000
53.357	0.928	60.000	4.000	1.000	30.000
53.508	0.928	60.000	4.000	1.000	30.000
53.660	0.928	60.000	4.000	1.000	30.000
53.812	0.929	60.000	4.000	1.000	30.000
53.965	0.928	60.000	4.000	1.000	30.000
54.120	0.926	60.000	4.000	1.000	30.000
54.274	0.925	60.000	4.000	1.000	30.000
54.427	0.927	60.000	4.000	1.000	30.000
54.573	0.928	60.000	4.000	1.000	30.000
54.716	0.928	60.000	4.000	1.000	30.000
54.860	0.929	60.000	4.000	1.000	30.000
55.002	0.929	60.000	4.000	1.000	30.000
55.142	0.930	60.000	4.000	1.000	30.000
55.281	0.931	60.000	4.000	1.000	30.000
55.419	0.931	60.000	4.000	1.000	30.000
55.557	0.931	60.000	4.000	1.000	30.000
55.693	0.931	60.000	4.000	1.000	30.000
55.829	0.931	60.000	4.000	1.000	30.000
55.963	0.931	60.000	4.000	1.000	30.000
56.100	0.931	60.000	4.000	1.000	30.000
56.236	0.931	60.000	4.000	1.000	30.000
56.367	0.932	60.000	4.000	1.000	30.000
56.496	0.934	60.000	4.000	1.000	30.000
56.623	0.935	60.000	4.000	1.000	30.000
56.750	0.934	60.000	4.000	1.000	30.000
56.876	0.934	60.000	4.000	1.000	30.000
56.998	0.934	60.000	4.000	1.000	30.000
57.117	0.934	60.000	4.000	1.000	30.000
57.237	0.934	60.000	4.000	1.000	30.000
57.360	0.934	60.000	4.000	1.000	30.000
57.481	0.934	60.000	4.000	1.000	30.000
57.603	0.935	60.000	4.000	1.000	30.000
57.724	0.934	60.000	4.000	1.000	30.000
57.843	0.935	60.000	4.000	1.000	30.000
57.961	0.934	60.000	4.000	1.000	30.000
58.080	0.928	60.000	4.000	1.000	30.000
58.198	0.911	60.000	4.000	1.000	30.000
58.314	0.887	60.000	4.000	1.000	30.000
58.427	0.868	60.000	4.000	1.000	30.000
58.537	0.849	60.000	4.000	1.000	30.000
58.646	0.828	60.000	4.000	1.000	30.000
58.746	0.811	60.000	4.000	1.000	30.000
58.836	0.793	60.000	4.000	1.000	30.000
58.919	0.780	60.000	4.000	1.000	30.000
58.996	0.767	60.000	4.000	1.000	30.000
59.072	0.753	60.000	4.000	1.000	30.000
59.140	0.741	60.000	4.000	1.000	30.000
59.205	0.728	60.000	4.000	1.000	30.000
59.264	0.719	60.000	4.000	1.000	30.000
59.318	0.709	60.000	4.000	1.000	30.000
